,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600369.SH,2019-01-02,3.4147,3.4732,3.3659,3.4439,3.3952,0.0487,1.4344,182864.6000,64022.1530
1,600369.SH,2019-01-03,3.4342,3.6683,3.4147,3.5708,3.4439,0.1269,3.6848,385995.7100,141401.7100
2,600369.SH,2019-01-04,3.5415,3.9317,3.5317,3.9317,3.5708,0.3609,10.1070,1069519.8300,418187.4460
3,600369.SH,2019-01-07,3.9903,4.0781,3.9122,3.9805,3.9317,0.0488,1.2412,1110695.2400,454105.1610
4,600369.SH,2019-01-08,3.9513,4.3805,3.9122,4.2342,3.9805,0.2537,6.3736,1690393.8100,733223.2670
5,600369.SH,2019-01-09,4.1952,4.2927,4.1366,4.1952,4.2342,-0.0390,-0.9211,1191303.6100,512938.0110
6,600369.SH,2019-01-10,4.0976,4.1171,3.9317,3.9513,4.1952,-0.2439,-5.8138,945112.5700,390512.8150
7,600369.SH,2019-01-11,3.9805,4.0488,3.9220,3.9610,3.9513,0.0097,0.2455,514724.2700,209769.6730
8,600369.SH,2019-01-14,4.0293,4.0878,3.9415,3.9610,3.9610,0.0000,0.0000,482028.8600,197391.8360
9,600369.SH,2019-01-15,3.9805,4.0976,3.9513,4.0683,3.9610,0.1073,2.7089,667785.9000,276132.4840
10,600369.SH,2019-01-16,4.0293,4.0488,3.9513,3.9708,4.0683,-0.0975,-2.3966,382754.1800,156378.1060
11,600369.SH,2019-01-17,3.9903,4.0098,3.9122,3.9220,3.9708,-0.0488,-1.2290,255224.6100,103527.2240
12,600369.SH,2019-01-18,3.9415,3.9805,3.8927,3.9513,3.9220,0.0293,0.7471,290840.8500,117440.0570
13,600369.SH,2019-01-21,3.9610,3.9708,3.9122,3.9220,3.9513,-0.0293,-0.7415,243871.5800,98393.5040
14,600369.SH,2019-01-22,3.9317,3.9513,3.9025,3.9122,3.9220,-0.0098,-0.2499,237604.5700,95671.5560
15,600369.SH,2019-01-23,3.9220,3.9317,3.8830,3.9025,3.9122,-0.0097,-0.2479,164556.0000,65861.1540
16,600369.SH,2019-01-24,3.9122,4.0098,3.9122,3.9513,3.9025,0.0488,1.2505,384881.7000,156457.3960
17,600369.SH,2019-01-25,3.9513,3.9610,3.8244,3.8342,3.9513,-0.1171,-2.9636,289627.4900,115888.0530
18,600369.SH,2019-01-28,3.8635,3.9220,3.7952,3.8049,3.8342,-0.0293,-0.7642,251927.5200,99446.2080
19,600369.SH,2019-01-29,3.7952,3.8049,3.6488,3.7366,3.8049,-0.0683,-1.7951,205918.0900,78535.0960
20,600369.SH,2019-01-30,3.6976,3.7659,3.6683,3.7074,3.7366,-0.0292,-0.7815,157867.4400,60310.5150
21,600369.SH,2019-01-31,3.7171,3.8147,3.7171,3.7561,3.7074,0.0487,1.3136,233063.1400,90021.1410
22,600369.SH,2019-02-01,3.8147,3.8830,3.8147,3.8830,3.7561,0.1269,3.3785,232777.4700,92017.2740
23,600369.SH,2019-02-11,3.9025,3.9513,3.9025,3.9317,3.8830,0.0487,1.2542,228827.1200,92019.9100
24,600369.SH,2019-02-12,3.9317,3.9610,3.8830,3.9220,3.9317,-0.0097,-0.2467,289172.9700,116267.8340
25,600369.SH,2019-02-13,3.9220,4.0976,3.9025,4.0683,3.9220,0.1463,3.7302,604761.0000,249435.0220
26,600369.SH,2019-02-14,4.0586,4.0878,4.0098,4.0391,4.0683,-0.0292,-0.7177,386338.9500,160250.2350
27,600369.SH,2019-02-15,4.0196,4.0878,4.0000,4.0000,4.0391,-0.0391,-0.9680,375182.9300,155362.6250
28,600369.SH,2019-02-18,4.0391,4.2537,4.0293,4.2147,4.0000,0.2147,5.3675,753241.0900,319771.6530
29,600369.SH,2019-02-19,4.2244,4.3610,4.1269,4.1757,4.2147,-0.0390,-0.9253,902741.6000,391468.4670
30,600369.SH,2019-02-20,4.1561,4.2635,4.1366,4.2147,4.1757,0.0390,0.9340,516648.2700,221921.8210
31,600369.SH,2019-02-21,4.1854,4.3610,4.1464,4.2049,4.2147,-0.0098,-0.2325,972496.2000,422933.6040
32,600369.SH,2019-02-22,4.2244,4.6244,4.1854,4.6244,4.2049,0.4195,9.9765,1600452.2300,724408.5820
33,600369.SH,2019-02-25,4.8781,5.0830,4.7025,5.0830,4.6244,0.4586,9.9170,2102906.6600,1067321.0680
34,600369.SH,2019-02-26,5.3171,5.5903,5.1318,5.2781,5.0830,0.1951,3.8383,2905832.6200,1595562.8850
35,600369.SH,2019-02-27,5.2293,5.6781,5.1903,5.5708,5.2781,0.2927,5.5456,2461721.0700,1376512.3330
36,600369.SH,2019-02-28,5.3659,5.4440,5.0147,5.0635,5.5708,-0.5073,-9.1064,1756303.9600,935039.3960
37,600369.SH,2019-03-01,5.1513,5.3757,5.0244,5.2586,5.0635,0.1951,3.8531,1404496.7600,748923.2780
38,600369.SH,2019-03-04,5.2976,5.7464,5.1220,5.4147,5.2586,0.1561,2.9685,2122085.6600,1176020.0410
39,600369.SH,2019-03-05,5.2683,5.4440,5.2293,5.3952,5.4147,-0.0195,-0.3601,1027266.3900,561629.5950
40,600369.SH,2019-03-06,5.3854,5.8049,5.3464,5.7074,5.3952,0.3122,5.7866,2146435.2100,1217773.7840
41,600369.SH,2019-03-07,5.6098,6.2049,5.5415,5.9220,5.7074,0.2146,3.7600,2724120.3000,1624622.0910
42,600369.SH,2019-03-08,5.6391,5.7171,5.3269,5.3269,5.9220,-0.5951,-10.0490,1844328.9300,1045763.0910
43,600369.SH,2019-03-11,5.2293,5.4440,5.0927,5.3659,5.3269,0.0390,0.7321,1215197.7800,658635.3360
44,600369.SH,2019-03-12,5.4049,5.5805,5.3269,5.4537,5.3659,0.0878,1.6363,1167358.6300,652187.6570
45,600369.SH,2019-03-13,5.4244,5.4635,5.2196,5.2781,5.4537,-0.1756,-3.2198,908701.2500,496011.4910
46,600369.SH,2019-03-14,5.1805,5.2976,4.9757,5.0537,5.2781,-0.2244,-4.2515,880357.0500,463159.4430
47,600369.SH,2019-03-15,5.1220,5.2098,5.0732,5.1220,5.0537,0.0683,1.3515,584762.7700,308125.4250
48,600369.SH,2019-03-18,5.1415,5.2879,5.0342,5.2781,5.1220,0.1561,3.0476,699174.8500,371943.3240
49,600369.SH,2019-03-19,5.2683,5.3171,5.2001,5.2391,5.2781,-0.0390,-0.7389,565626.3700,304789.0780
50,600369.SH,2019-03-20,5.2293,5.4635,5.1903,5.4244,5.2391,0.1853,3.5369,1089713.2200,597976.8940
51,600369.SH,2019-03-21,5.4342,5.6586,5.3366,5.4830,5.4244,0.0586,1.0803,1515646.9500,855189.6530
52,600369.SH,2019-03-22,5.4830,5.4927,5.2488,5.3464,5.4830,-0.1366,-2.4913,895949.0700,492945.6150
53,600369.SH,2019-03-25,5.1805,5.2781,5.1318,5.1415,5.3464,-0.2049,-3.8325,795491.5100,423554.3530
54,600369.SH,2019-03-26,5.1610,5.2098,4.9854,5.0147,5.1415,-0.1268,-2.4662,574880.1800,299759.0810
55,600369.SH,2019-03-27,5.0635,5.1025,5.0049,5.0635,5.0147,0.0488,0.9731,417176.2800,216305.6980
56,600369.SH,2019-03-28,5.0342,5.1513,4.9757,5.0147,5.0635,-0.0488,-0.9638,390758.7700,202565.9000
57,600369.SH,2019-03-29,5.0732,5.4049,5.0537,5.3952,5.0147,0.3805,7.5877,1257669.1100,679307.2650
58,600369.SH,2019-04-01,5.3659,5.5708,5.3269,5.4732,5.3952,0.0780,1.4457,1307512.3500,730627.1910
59,600369.SH,2019-04-02,5.4732,5.5805,5.4147,5.4440,5.4732,-0.0292,-0.5335,940628.0600,529670.9610
60,600369.SH,2019-04-03,5.3757,5.6781,5.3464,5.6488,5.4440,0.2048,3.7619,1339488.0300,761434.9270
61,600369.SH,2019-04-04,5.6488,5.7464,5.5415,5.6684,5.6488,0.0196,0.3470,1186413.0000,684946.0280
62,600369.SH,2019-04-08,5.7074,5.7464,5.3854,5.5318,5.6684,-0.1366,-2.4099,1030943.2600,590239.7640
63,600369.SH,2019-04-09,5.4830,5.6196,5.4440,5.5708,5.5318,0.0390,0.7050,696754.7700,395471.2490
64,600369.SH,2019-04-10,5.8440,6.1269,5.7171,6.1171,5.5708,0.5463,9.8065,4048887.8300,2470862.8920
65,600369.SH,2019-04-11,5.9610,6.0001,5.6488,5.7171,6.1171,-0.4000,-6.5390,2557744.8200,1525761.2910
66,600369.SH,2019-04-12,5.6586,6.0586,5.6586,5.9513,5.7171,0.2342,4.0965,2099072.6100,1263663.5390
67,600369.SH,2019-04-15,6.2049,6.3415,5.7171,5.7464,5.9513,-0.2049,-3.4429,1985819.6300,1224166.0570
68,600369.SH,2019-04-16,5.6586,6.0001,5.5805,5.9123,5.7464,0.1659,2.8870,1608961.3200,954017.2860
69,600369.SH,2019-04-17,5.9123,5.9123,5.7659,5.7952,5.9123,-0.1171,-1.9806,1087362.7000,650026.6540
70,600369.SH,2019-04-18,5.7952,5.8342,5.6684,5.6976,5.7952,-0.0976,-1.6842,728088.4200,428933.6680
71,600369.SH,2019-04-19,5.7074,5.8147,5.6879,5.7562,5.6976,0.0586,1.0285,646377.5900,380427.9780
72,600369.SH,2019-04-22,5.8147,5.8440,5.6098,5.6391,5.7562,-0.1171,-2.0343,763186.4700,446119.1330
73,600369.SH,2019-04-23,5.6001,5.8147,5.5220,5.6781,5.6391,0.0390,0.6916,976992.1100,568039.0870
74,600369.SH,2019-04-24,5.6684,5.7171,5.6001,5.6976,5.6781,0.0195,0.3434,598553.8100,347977.7380
