,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600567.SH,2019-01-02,3.1100,3.1200,3.0900,3.1100,3.1200,-0.0100,-0.3205,143743.4000,44564.0490
1,600567.SH,2019-01-03,3.1000,3.1300,3.0900,3.1000,3.1100,-0.0100,-0.3215,150425.4800,46686.4390
2,600567.SH,2019-01-04,3.0800,3.1500,3.0700,3.1500,3.1000,0.0500,1.6129,213010.1500,66502.3240
3,600567.SH,2019-01-07,3.1600,3.1800,3.1300,3.1600,3.1500,0.0100,0.3175,303319.7000,95749.0470
4,600567.SH,2019-01-08,3.1500,3.1700,3.1300,3.1400,3.1600,-0.0200,-0.6329,220333.7100,69326.4340
5,600567.SH,2019-01-09,3.1500,3.2100,3.1300,3.1600,3.1400,0.0200,0.6369,480822.6800,152818.0350
6,600567.SH,2019-01-10,3.1500,3.2200,3.1400,3.1700,3.1600,0.0100,0.3165,362085.4800,114968.1410
7,600567.SH,2019-01-11,3.1800,3.2600,3.1700,3.2400,3.1700,0.0700,2.2082,586038.8400,188755.2940
8,600567.SH,2019-01-14,3.2300,3.2800,3.2200,3.2500,3.2400,0.0100,0.3086,412402.4200,134079.9100
9,600567.SH,2019-01-15,3.3000,3.3200,3.2500,3.2800,3.2500,0.0300,0.9231,502255.9600,164579.0350
10,600567.SH,2019-01-16,3.2800,3.2800,3.2400,3.2500,3.2800,-0.0300,-0.9146,327644.9700,106872.2500
11,600567.SH,2019-01-17,3.2700,3.2700,3.2200,3.2300,3.2500,-0.0200,-0.6154,362908.4000,117886.7120
12,600567.SH,2019-01-18,3.2500,3.3400,3.2300,3.3100,3.2300,0.0800,2.4768,671368.5700,220861.7930
13,600567.SH,2019-01-21,3.3100,3.3600,3.3000,3.3300,3.3100,0.0200,0.6042,506538.8400,168594.3980
14,600567.SH,2019-01-22,3.3400,3.3500,3.2500,3.2700,3.3300,-0.0600,-1.8018,357836.9700,117426.4640
15,600567.SH,2019-01-23,3.2500,3.3100,3.2400,3.2800,3.2700,0.0100,0.3058,279330.9100,91662.6320
16,600567.SH,2019-01-24,3.2900,3.3000,3.2600,3.2700,3.2800,-0.0100,-0.3049,209686.2000,68837.4690
17,600567.SH,2019-01-25,3.2700,3.3200,3.2700,3.2800,3.2700,0.0100,0.3058,296420.3400,97535.6860
18,600567.SH,2019-01-28,3.3000,3.3200,3.2700,3.2800,3.2800,0.0000,0.0000,328409.0600,108309.9320
19,600567.SH,2019-01-29,3.2700,3.2800,3.2100,3.2700,3.2800,-0.0100,-0.3049,303610.9000,98666.8040
20,600567.SH,2019-01-30,3.2600,3.2800,3.2200,3.2300,3.2700,-0.0400,-1.2232,265179.5500,86116.5510
21,600567.SH,2019-01-31,3.2400,3.2900,3.2300,3.2700,3.2300,0.0400,1.2384,341306.2500,111291.6400
22,600567.SH,2019-02-01,3.2800,3.3100,3.2500,3.3100,3.2700,0.0400,1.2232,349666.4600,114602.3860
23,600567.SH,2019-02-11,3.3100,3.3500,3.2800,3.3400,3.3100,0.0300,0.9063,479179.0800,159075.3550
24,600567.SH,2019-02-12,3.3300,3.4200,3.3200,3.3900,3.3400,0.0500,1.4970,601998.5400,203047.2150
25,600567.SH,2019-02-13,3.3700,3.4400,3.3700,3.4300,3.3900,0.0400,1.1799,599908.5500,204400.4320
26,600567.SH,2019-02-14,3.4200,3.4400,3.3900,3.4100,3.4300,-0.0200,-0.5831,410089.9800,139986.1700
27,600567.SH,2019-02-15,3.4000,3.4100,3.3600,3.3700,3.4100,-0.0400,-1.1730,362948.7000,122841.0520
28,600567.SH,2019-02-18,3.3800,3.4500,3.3700,3.4500,3.3700,0.0800,2.3739,620867.4300,212019.7430
29,600567.SH,2019-02-19,3.4500,3.4900,3.3900,3.4100,3.4500,-0.0400,-1.1594,573338.5600,196985.8820
30,600567.SH,2019-02-20,3.4100,3.4800,3.4000,3.4700,3.4100,0.0600,1.7595,586333.4700,201938.6500
31,600567.SH,2019-02-21,3.4600,3.5100,3.4200,3.4400,3.4700,-0.0300,-0.8646,676241.5000,234082.1770
