,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601969.SH,2019-01-02,4.5500,4.5900,4.3900,4.3900,4.4800,-0.0900,-2.0089,22662.0000,10172.6290
1,601969.SH,2019-01-03,4.4000,4.4700,4.3100,4.3200,4.3900,-0.0700,-1.5945,20611.0000,9036.0100
2,601969.SH,2019-01-04,4.3500,4.3900,4.2200,4.3900,4.3200,0.0700,1.6204,29628.3900,12843.3720
3,601969.SH,2019-01-07,4.4200,4.4800,4.3500,4.4600,4.3900,0.0700,1.5945,33238.0000,14715.2800
4,601969.SH,2019-01-08,4.4400,4.4600,4.4000,4.4300,4.4600,-0.0300,-0.6726,18455.0000,8169.1480
5,601969.SH,2019-01-09,4.4200,4.5100,4.4200,4.4300,4.4300,0.0000,0.0000,21012.0700,9393.0850
6,601969.SH,2019-01-10,4.4700,4.4900,4.4200,4.4600,4.4300,0.0300,0.6772,15698.0100,6990.3420
7,601969.SH,2019-01-11,4.4200,4.4800,4.4100,4.4700,4.4600,0.0100,0.2242,20185.4100,8960.8520
8,601969.SH,2019-01-14,4.4800,4.5800,4.4300,4.5500,4.4700,0.0800,1.7897,32010.6900,14478.1130
9,601969.SH,2019-01-15,4.5900,4.5900,4.4900,4.5700,4.5500,0.0200,0.4396,27057.4100,12295.4610
10,601969.SH,2019-01-16,4.6000,4.6100,4.5500,4.5800,4.5700,0.0100,0.2188,21291.0000,9751.5650
11,601969.SH,2019-01-17,4.5700,4.6100,4.5300,4.5500,4.5800,-0.0300,-0.6550,19906.4100,9091.0480
12,601969.SH,2019-01-18,4.5500,4.7500,4.5500,4.6000,4.5500,0.0500,1.0989,51751.0000,24038.4500
13,601969.SH,2019-01-21,4.6200,4.7500,4.5800,4.7100,4.6000,0.1100,2.3913,48955.7600,22939.7930
14,601969.SH,2019-01-22,4.6700,4.6800,4.5900,4.6300,4.7100,-0.0800,-1.6985,30961.9200,14341.4920
15,601969.SH,2019-01-23,4.6000,4.6200,4.5300,4.5900,4.6300,-0.0400,-0.8639,22072.0700,10111.9930
16,601969.SH,2019-01-24,4.6200,4.6400,4.5800,4.6000,4.5900,0.0100,0.2179,17684.8400,8154.5650
17,601969.SH,2019-01-25,4.6100,4.6600,4.4900,4.5000,4.6000,-0.1000,-2.1739,22965.0000,10454.4030
18,601969.SH,2019-01-28,4.5800,4.6600,4.5200,4.5300,4.5000,0.0300,0.6667,23777.1600,10887.5820
19,601969.SH,2019-01-29,4.4300,4.4500,4.1000,4.1700,4.5300,-0.3600,-7.9470,52098.2800,21880.7650
20,601969.SH,2019-01-30,4.3400,4.5900,4.3300,4.5900,4.1700,0.4200,10.0719,97299.0700,43571.0500
21,601969.SH,2019-01-31,4.6200,4.6200,4.2600,4.2900,4.5900,-0.3000,-6.5359,77370.0000,34064.4400
22,601969.SH,2019-02-01,4.4200,4.4300,4.2200,4.3500,4.2900,0.0600,1.3986,53635.9800,23133.1220
23,601969.SH,2019-02-11,4.7700,4.7900,4.7600,4.7900,4.3500,0.4400,10.1149,375642.2200,179876.9940
24,601969.SH,2019-02-12,4.7000,5.0800,4.5700,4.9600,4.7900,0.1700,3.5491,456643.4700,216951.0350
25,601969.SH,2019-02-13,4.7100,4.9200,4.7000,4.8700,4.9600,-0.0900,-1.8145,335113.1500,160498.9200
26,601969.SH,2019-02-14,4.7800,4.8600,4.7600,4.8100,4.8700,-0.0600,-1.2320,172452.6700,82797.9560
27,601969.SH,2019-02-15,4.7900,4.8100,4.7100,4.7300,4.8100,-0.0800,-1.6632,127802.7500,60699.6300
28,601969.SH,2019-02-18,4.7400,4.8200,4.7200,4.8200,4.7300,0.0900,1.9027,168708.1700,80535.2520
29,601969.SH,2019-02-19,4.8000,5.0200,4.7800,4.8700,4.8200,0.0500,1.0373,218145.2200,106320.4780
30,601969.SH,2019-02-20,4.7800,4.9500,4.7500,4.8600,4.8700,-0.0100,-0.2053,150796.1700,73187.3520
31,601969.SH,2019-02-21,4.8600,5.0000,4.7500,4.8900,4.8600,0.0300,0.6173,227134.7700,110434.9790
32,601969.SH,2019-02-22,4.8000,4.9100,4.7800,4.9000,4.8900,0.0100,0.2045,158602.8900,77019.3990
33,601969.SH,2019-02-25,4.9800,5.1700,4.9200,5.1600,4.9000,0.2600,5.3061,265084.6500,134065.1690
34,601969.SH,2019-02-26,5.0900,5.5600,5.0400,5.2300,5.1600,0.0700,1.3566,322174.4400,171014.4400
35,601969.SH,2019-02-27,5.3000,5.4100,5.1800,5.3400,5.2300,0.1100,2.1033,240110.4600,127477.5980
36,601969.SH,2019-02-28,5.3400,5.4200,5.2100,5.2800,5.3400,-0.0600,-1.1236,135723.5400,71809.9630
37,601969.SH,2019-03-01,5.2900,5.3100,5.1200,5.2500,5.2800,-0.0300,-0.5682,139587.2000,72581.9300
38,601969.SH,2019-03-04,5.2800,5.3800,5.2000,5.3000,5.2500,0.0500,0.9524,199980.0700,106119.9000
39,601969.SH,2019-03-05,5.2200,5.3600,5.2000,5.3600,5.3000,0.0600,1.1321,122167.3900,64560.9380
40,601969.SH,2019-03-06,5.4000,5.5200,5.3200,5.4800,5.3600,0.1200,2.2388,227749.3400,123389.3490
41,601969.SH,2019-03-07,5.4700,5.7700,5.4000,5.5900,5.4800,0.1100,2.0073,229005.3400,127891.3990
42,601969.SH,2019-03-08,5.4900,5.5800,5.1300,5.1800,5.5900,-0.4100,-7.3345,181279.3400,97446.7460
43,601969.SH,2019-03-11,5.2000,5.3600,5.2000,5.3600,5.1800,0.1800,3.4749,114394.3400,60334.6280
44,601969.SH,2019-03-12,5.3900,5.7500,5.3700,5.6300,5.3600,0.2700,5.0373,213193.6900,118352.9830
45,601969.SH,2019-03-13,5.6500,5.7400,5.5000,5.5500,5.6300,-0.0800,-1.4210,155566.2800,87622.9360
46,601969.SH,2019-03-14,5.5000,5.7400,5.4100,5.5100,5.5500,-0.0400,-0.7207,132158.0000,73547.8230
47,601969.SH,2019-03-15,5.4800,5.6800,5.4000,5.6800,5.5100,0.1700,3.0853,135773.4100,75121.3110
48,601969.SH,2019-03-18,5.8000,5.9600,5.7000,5.8700,5.6800,0.1900,3.3451,171420.2600,99479.8460
49,601969.SH,2019-03-19,5.8300,5.8500,5.7000,5.8000,5.8700,-0.0700,-1.1925,117052.2700,67491.1930
50,601969.SH,2019-03-20,5.7100,5.7800,5.6200,5.7300,5.8000,-0.0700,-1.2069,102417.5000,58287.3960
51,601969.SH,2019-03-21,5.7200,5.7800,5.6400,5.7000,5.7300,-0.0300,-0.5236,104275.0000,59736.7010
52,601969.SH,2019-03-22,5.7000,5.7100,5.2500,5.6500,5.7000,-0.0500,-0.8772,117350.3500,65612.0920
53,601969.SH,2019-03-25,5.5500,5.6500,5.3500,5.3500,5.6500,-0.3000,-5.3097,168845.0000,92271.7760
54,601969.SH,2019-03-26,5.4100,5.4400,5.1300,5.1600,5.3500,-0.1900,-3.5514,129865.0000,68666.0630
55,601969.SH,2019-03-27,5.2300,5.2400,5.0800,5.1900,5.1600,0.0300,0.5814,79867.8000,41105.8960
56,601969.SH,2019-03-28,5.1500,5.2100,5.0800,5.1100,5.1900,-0.0800,-1.5414,63822.7700,32782.1870
57,601969.SH,2019-03-29,5.1000,5.4200,5.0800,5.3400,5.1100,0.2300,4.5010,112735.3700,59184.6260
58,601969.SH,2019-04-01,5.3300,5.5400,5.3200,5.5400,5.3400,0.2000,3.7453,149965.8000,81715.4560
59,601969.SH,2019-04-02,5.5000,5.8600,5.5000,5.7400,5.5400,0.2000,3.6101,225828.8700,128256.3010
60,601969.SH,2019-04-03,5.9900,6.3100,5.8000,6.2600,5.7400,0.5200,9.0592,441027.6700,268776.2720
61,601969.SH,2019-04-04,6.0000,6.1300,5.9300,6.1200,6.2600,-0.1400,-2.2364,322844.1500,194880.8670
62,601969.SH,2019-04-08,6.0900,6.4600,6.0000,6.3700,6.1200,0.2500,4.0850,313701.3300,194937.1690
63,601969.SH,2019-04-09,6.2700,6.3300,6.0500,6.2300,6.3700,-0.1400,-2.1978,171296.7100,105584.1660
64,601969.SH,2019-04-10,6.1400,6.2300,5.9600,6.1300,6.2300,-0.1000,-1.6051,140812.6700,85470.3220
65,601969.SH,2019-04-11,6.0900,6.1300,5.9500,5.9800,6.1300,-0.1500,-2.4470,87115.5300,52420.0180
66,601969.SH,2019-04-12,5.9300,6.0200,5.8600,5.9600,5.9800,-0.0200,-0.3344,78096.7500,46432.0240
67,601969.SH,2019-04-15,6.0600,6.0900,5.8000,5.8000,5.9600,-0.1600,-2.6846,78483.5800,46734.6290
