,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000627.SZ,2019-01-02,5.4832,5.5321,5.3953,5.4832,5.4832,0.0000,0.0000,38619.3400,21443.4290
1,000627.SZ,2019-01-03,5.4246,5.5614,5.4148,5.4344,5.4832,-0.0488,-0.8900,60181.1500,33815.8120
2,000627.SZ,2019-01-04,5.3855,5.7276,5.3366,5.5614,5.4344,0.1270,2.3370,132902.3200,75715.9330
3,000627.SZ,2019-01-07,5.6201,5.6494,5.5126,5.5614,5.5614,0.0000,0.0000,93750.1900,53301.8890
4,000627.SZ,2019-01-08,5.5517,5.5712,5.4539,5.5028,5.5614,-0.0586,-1.0537,55999.1100,31491.7430
5,000627.SZ,2019-01-09,5.4930,5.6005,5.4832,5.5321,5.5028,0.0293,0.5325,67266.4000,38257.9520
6,000627.SZ,2019-01-10,5.5028,5.5126,5.4148,5.4344,5.5321,-0.0977,-1.7661,58590.1000,32711.2860
7,000627.SZ,2019-01-11,5.4344,5.4930,5.3953,5.4344,5.4344,0.0000,0.0000,41205.7400,22909.2160
8,000627.SZ,2019-01-14,5.4441,5.4735,5.3562,5.4637,5.4344,0.0293,0.5392,55631.0000,30757.7420
9,000627.SZ,2019-01-15,5.4441,5.5321,5.4344,5.4930,5.4637,0.0293,0.5363,56569.3800,31804.9390
10,000627.SZ,2019-01-16,5.4930,5.5223,5.4441,5.4539,5.4930,-0.0391,-0.7118,42175.1000,23616.5390
11,000627.SZ,2019-01-17,5.4344,5.5517,5.4344,5.5223,5.4539,0.0684,1.2541,66942.2000,37653.2250
12,000627.SZ,2019-01-18,5.5028,5.5908,5.4930,5.5908,5.5223,0.0685,1.2404,87768.5000,49851.0220
13,000627.SZ,2019-01-21,5.5712,5.6396,5.5517,5.6201,5.5908,0.0293,0.5241,90859.9100,52015.5920
14,000627.SZ,2019-01-22,5.5810,5.6103,5.5223,5.5614,5.6201,-0.0587,-1.0445,42777.4100,24348.1150
15,000627.SZ,2019-01-23,5.5419,5.5517,5.4539,5.5419,5.5614,-0.0195,-0.3506,48715.7400,27413.5880
