,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600073.SH,2019-01-02,7.3232,7.4210,7.1276,7.1570,7.2841,-0.1271,-1.7449,110204.5300,81953.2450
1,600073.SH,2019-01-03,7.1570,7.3623,7.0788,7.1667,7.1570,0.0097,0.1355,113985.5200,84023.6530
2,600073.SH,2019-01-04,7.0885,7.2743,7.0788,7.1374,7.1667,-0.0293,-0.4088,77465.7800,56630.7080
3,600073.SH,2019-01-07,7.1863,7.4210,7.1179,7.4112,7.1374,0.2738,3.8361,134985.5000,100759.2080
4,600073.SH,2019-01-08,7.3721,7.3721,7.1765,7.2547,7.4112,-0.1565,-2.1117,87980.8100,65220.4260
5,600073.SH,2019-01-09,7.2547,7.3916,7.1667,7.1863,7.2547,-0.0684,-0.9428,101326.0100,75375.1290
6,600073.SH,2019-01-10,7.1863,7.2156,7.0592,7.1081,7.1863,-0.0782,-1.0882,75408.3700,54931.0400
7,600073.SH,2019-01-11,7.1374,7.2254,7.0592,7.1570,7.1081,0.0489,0.6879,86445.1200,63039.6480
8,600073.SH,2019-01-14,7.1570,7.2547,7.0983,7.2254,7.1570,0.0684,0.9557,68832.0600,50505.9800
9,600073.SH,2019-01-15,7.2156,7.4112,7.1179,7.3427,7.2254,0.1173,1.6234,105887.8300,79047.3260
10,600073.SH,2019-01-16,7.3525,7.3916,7.2939,7.3916,7.3427,0.0489,0.6660,46589.3300,35028.5480
11,600073.SH,2019-01-17,7.3623,7.3623,7.1570,7.2156,7.3916,-0.1760,-2.3811,82398.8300,60934.8830
12,600073.SH,2019-01-18,7.2645,7.2939,7.1961,7.2547,7.2156,0.0391,0.5419,49001.4400,36354.4120
13,600073.SH,2019-01-21,7.2939,7.3916,7.2450,7.3427,7.2547,0.0880,1.2130,51417.7700,38547.1050
14,600073.SH,2019-01-22,7.3525,7.3916,7.1863,7.2352,7.3427,-0.1075,-1.4640,50245.5900,37374.4050
15,600073.SH,2019-01-23,7.2547,7.2939,7.0690,7.2547,7.2352,0.0195,0.2695,74202.1100,54472.2110
16,600073.SH,2019-01-24,7.2547,7.6654,7.2547,7.5481,7.2547,0.2934,4.0443,134133.4000,102457.8130
17,600073.SH,2019-01-25,7.5578,7.5774,7.4112,7.4210,7.5481,-0.1271,-1.6839,75409.5200,57681.4590
18,600073.SH,2019-01-28,7.5285,7.5285,7.3036,7.3036,7.4210,-0.1174,-1.5820,71759.1500,54144.1880
19,600073.SH,2019-01-29,7.2939,7.3232,6.9516,7.1374,7.3036,-0.1662,-2.2756,97926.5500,70940.7650
20,600073.SH,2019-01-30,7.1570,7.1570,6.9321,6.9516,7.1374,-0.1858,-2.6032,59460.2600,42716.5340
