,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,603000.SH,2019-01-02,7.2580,7.3271,7.2087,7.2285,7.1989,0.0296,0.4112,30878.1400,22748.9950
1,603000.SH,2019-01-03,7.2482,7.4553,7.1989,7.3862,7.2285,0.1577,2.1816,70433.0600,52625.1310
2,603000.SH,2019-01-04,7.2975,7.6920,7.2580,7.6624,7.3862,0.2762,3.7394,104909.8000,80638.1930
3,603000.SH,2019-01-07,7.6920,7.7906,7.6525,7.7413,7.6624,0.0789,1.0297,66054.6100,51751.0730
4,603000.SH,2019-01-08,7.7215,7.8300,7.6328,7.7511,7.7413,0.0098,0.1266,60281.8100,47262.3890
5,603000.SH,2019-01-09,7.7511,8.0765,7.7511,7.8793,7.7511,0.1282,1.6540,97862.8600,78924.1460
6,603000.SH,2019-01-10,7.9089,8.0667,7.8892,7.9878,7.8793,0.1085,1.3770,61870.5700,50037.5300
7,603000.SH,2019-01-11,8.0371,8.0371,7.9089,7.9582,7.9878,-0.0296,-0.3706,56714.3400,45807.8600
8,603000.SH,2019-01-14,7.9681,8.1061,7.8695,8.0963,7.9582,0.1381,1.7353,77980.4100,63699.3570
9,603000.SH,2019-01-15,8.1061,8.1160,7.9977,8.0963,8.0963,0.0000,0.0000,67053.2200,54856.4690
10,603000.SH,2019-01-16,8.0963,8.2738,8.0765,8.1259,8.0963,0.0296,0.3656,54031.2400,44828.9270
11,603000.SH,2019-01-17,8.1357,8.2442,8.0371,8.1357,8.1259,0.0098,0.1206,50285.3700,41526.3870
12,603000.SH,2019-01-18,8.1357,8.2245,8.0864,8.1061,8.1357,-0.0296,-0.3638,49088.7600,40487.7170
13,603000.SH,2019-01-21,8.2047,8.2836,8.1061,8.1653,8.1061,0.0592,0.7303,46285.7000,38504.5550
14,603000.SH,2019-01-22,8.1949,8.2836,8.0864,8.1259,8.1653,-0.0394,-0.4825,47029.3200,38896.0010
15,603000.SH,2019-01-23,8.1061,8.1850,8.0963,8.1850,8.1259,0.0591,0.7273,39339.9400,32454.9870
16,603000.SH,2019-01-24,8.2639,8.4217,8.1456,8.2836,8.1850,0.0986,1.2046,66744.6400,56084.9140
17,603000.SH,2019-01-25,8.3231,8.7964,8.3034,8.7274,8.2836,0.4438,5.3576,132248.8100,115593.6110
18,603000.SH,2019-01-28,8.8063,9.3980,8.4316,9.0528,8.7274,0.3254,3.7285,216853.6900,195191.8550
19,603000.SH,2019-01-29,8.8753,9.3684,8.8063,8.9049,9.0528,-0.1479,-1.6337,176883.2200,163086.8030
20,603000.SH,2019-01-30,8.9542,9.0923,8.7669,8.7866,8.9049,-0.1183,-1.3285,81253.1500,73289.9460
21,603000.SH,2019-01-31,8.8753,9.2599,8.7866,9.0331,8.7866,0.2465,2.8054,115489.5400,105490.1440
22,603000.SH,2019-02-01,9.0233,9.1712,8.7866,8.9937,9.0331,-0.0394,-0.4362,94801.2100,86289.0310
23,603000.SH,2019-02-11,8.9937,9.3881,8.9641,9.2402,8.9937,0.2465,2.7408,82232.1900,76374.7120
24,603000.SH,2019-02-12,9.2205,9.2994,9.1120,9.1712,9.2402,-0.0690,-0.7467,55877.3400,51992.7130
25,603000.SH,2019-02-13,9.1416,9.3487,9.0430,9.2796,9.1712,0.1084,1.1820,93232.0400,87078.2680
26,603000.SH,2019-02-14,9.2895,10.2066,9.2303,10.0686,9.2796,0.7890,8.5025,235598.0400,234786.0410
27,603000.SH,2019-02-15,10.0587,10.8180,9.9601,10.4729,10.0686,0.4043,4.0155,241761.0200,253949.1710
28,603000.SH,2019-02-18,10.4630,11.0449,10.2757,10.9068,10.4729,0.4339,4.1431,170939.8900,186750.1550
29,603000.SH,2019-02-19,10.9068,11.4393,10.4532,10.6701,10.9068,-0.2367,-2.1702,211441.2400,232159.2170
30,603000.SH,2019-02-20,11.0547,11.7352,11.0547,11.7352,10.6701,1.0651,9.9821,300329.3500,346779.8810
31,603000.SH,2019-02-21,12.1395,12.9087,12.1395,12.9087,11.7352,1.1735,9.9998,327286.5000,423380.8380
32,603000.SH,2019-02-22,14.2005,14.2005,14.2005,14.2005,12.9087,1.2918,10.0072,81428.9200,117257.6450
33,603000.SH,2019-02-25,15.6206,15.6206,15.6206,15.6206,14.2005,1.4201,10.0004,18870.7600,29891.2840
34,603000.SH,2019-02-26,17.1787,17.1787,17.1787,17.1787,15.6206,1.5581,9.9746,43405.7300,75612.7820
35,603000.SH,2019-02-27,18.8946,18.8946,16.4687,18.0564,17.1787,0.8777,5.1092,1253033.6100,2307138.0530
36,603000.SH,2019-02-28,17.5337,19.3877,16.5771,17.2181,18.0564,-0.8383,-4.6427,886100.6300,1608058.1470
37,603000.SH,2019-03-01,17.7507,18.9439,17.5140,18.9439,17.2181,1.7258,10.0232,899707.0500,1685752.1440
38,603000.SH,2019-03-04,19.9202,20.8373,19.6539,20.8373,18.9439,1.8934,9.9948,326038.5900,676864.7500
39,603000.SH,2019-03-05,22.9181,22.9181,21.9714,22.9181,20.8373,2.0808,9.9859,945711.7200,2182664.8960
40,603000.SH,2019-03-06,23.1745,25.2059,23.1252,25.2059,22.9181,2.2878,9.9825,769993.4200,1892789.6350
41,603000.SH,2019-03-07,26.9514,27.7305,26.8725,27.7305,25.2059,2.5246,10.0159,500378.2100,1398773.8160
