,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601898.SH,2019-01-02,4.4480,4.4766,4.3907,4.4194,4.4385,-0.0191,-0.4303,66672.0900,30923.6140
1,601898.SH,2019-01-03,4.4003,4.4862,4.3907,4.4576,4.4194,0.0382,0.8644,72981.5900,34070.5350
2,601898.SH,2019-01-04,4.4385,4.5339,4.4289,4.5244,4.4576,0.0668,1.4986,64103.3200,30215.8150
3,601898.SH,2019-01-07,4.5339,4.5912,4.5244,4.5721,4.5244,0.0477,1.0543,88771.2100,42447.1750
4,601898.SH,2019-01-08,4.5721,4.5912,4.5435,4.5625,4.5721,-0.0096,-0.2100,72397.1800,34670.3200
5,601898.SH,2019-01-09,4.5912,4.6389,4.5816,4.5816,4.5625,0.0191,0.4186,74595.7100,36060.8480
6,601898.SH,2019-01-10,4.5912,4.6198,4.5339,4.5625,4.5816,-0.0191,-0.4169,70291.9300,33702.9520
7,601898.SH,2019-01-11,4.5530,4.6007,4.5339,4.5721,4.5625,0.0096,0.2104,60042.8100,28720.4230
8,601898.SH,2019-01-14,4.5625,4.6580,4.5148,4.5435,4.5721,-0.0286,-0.6255,114970.7600,55294.9490
9,601898.SH,2019-01-15,4.5530,4.5816,4.5244,4.5721,4.5435,0.0286,0.6295,74882.4900,35698.5760
10,601898.SH,2019-01-16,4.5721,4.6007,4.5339,4.5721,4.5721,0.0000,0.0000,76985.9500,36842.6650
11,601898.SH,2019-01-17,4.5625,4.6389,4.5435,4.5816,4.5721,0.0095,0.2078,116956.7800,56363.2290
12,601898.SH,2019-01-18,4.6007,4.6580,4.5816,4.6198,4.5816,0.0382,0.8338,129317.8000,62511.3510
13,601898.SH,2019-01-21,4.6294,4.6580,4.5912,4.6198,4.6198,0.0000,0.0000,109643.5700,53039.9410
14,601898.SH,2019-01-22,4.6294,4.6389,4.5530,4.5721,4.6198,-0.0477,-1.0325,104241.3300,50204.1430
15,601898.SH,2019-01-23,4.5625,4.5816,4.5244,4.5339,4.5721,-0.0382,-0.8355,77902.5500,37122.2230
16,601898.SH,2019-01-24,4.5244,4.5625,4.4957,4.5244,4.5339,-0.0095,-0.2095,77248.8000,36615.7670
