,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000488.SZ,2019-01-02,5.2120,5.2398,5.1471,5.1749,5.2027,-0.0278,-0.5343,67022.3800,37380.6140
1,000488.SZ,2019-01-03,5.1749,5.2120,5.1471,5.1563,5.1749,-0.0186,-0.3594,77550.8800,43274.8710
2,000488.SZ,2019-01-04,5.1100,5.2862,5.1007,5.2769,5.1563,0.1206,2.3389,114837.7400,64697.0660
3,000488.SZ,2019-01-07,5.3418,5.3511,5.2676,5.3233,5.2769,0.0464,0.8793,114364.2600,65565.2450
4,000488.SZ,2019-01-08,5.2954,5.3140,5.2676,5.2862,5.3233,-0.0371,-0.6969,66387.9800,37892.5190
5,000488.SZ,2019-01-09,5.2954,5.4253,5.2954,5.3696,5.2862,0.0834,1.5777,171245.8100,99273.5480
6,000488.SZ,2019-01-10,5.3511,5.4531,5.2954,5.3696,5.3696,0.0000,0.0000,162868.4300,94435.8670
7,000488.SZ,2019-01-11,5.3882,5.4624,5.3696,5.4531,5.3696,0.0835,1.5551,151811.1800,88833.4960
8,000488.SZ,2019-01-14,5.4345,5.5180,5.4067,5.4160,5.4531,-0.0371,-0.6803,175283.7800,103182.4200
9,000488.SZ,2019-01-15,5.3974,5.4716,5.3974,5.4531,5.4160,0.0371,0.6850,134152.6800,78530.2890
10,000488.SZ,2019-01-16,5.4438,5.4716,5.4067,5.4067,5.4531,-0.0464,-0.8509,100838.5400,59034.5170
11,000488.SZ,2019-01-17,5.4253,5.4624,5.3789,5.3974,5.4067,-0.0093,-0.1720,103731.1900,60619.0050
12,000488.SZ,2019-01-18,5.4160,5.6293,5.3882,5.5180,5.3974,0.1206,2.2344,223552.3400,132720.3320
13,000488.SZ,2019-01-21,5.5180,5.5737,5.4809,5.5087,5.5180,-0.0093,-0.1685,148347.1800,88423.1580
14,000488.SZ,2019-01-22,5.5366,5.5551,5.4253,5.4345,5.5087,-0.0742,-1.3470,157059.6500,92832.8510
15,000488.SZ,2019-01-23,5.4345,5.4531,5.3696,5.4345,5.4345,0.0000,0.0000,87391.6600,51088.2630
16,000488.SZ,2019-01-24,5.4438,5.4531,5.3974,5.4067,5.4345,-0.0278,-0.5115,84436.3100,49432.9840
17,000488.SZ,2019-01-25,5.4160,5.5180,5.3882,5.4624,5.4067,0.0557,1.0302,130830.9700,76929.3060
18,000488.SZ,2019-01-28,5.4809,5.5737,5.4531,5.4716,5.4624,0.0092,0.1684,152455.8100,90651.5430
19,000488.SZ,2019-01-29,5.4624,5.4995,5.3047,5.3974,5.4716,-0.0742,-1.3561,128038.9000,74498.2660
20,000488.SZ,2019-01-30,5.4067,5.4160,5.2769,5.2862,5.3974,-0.1112,-2.0603,129909.0000,74873.4140
21,000488.SZ,2019-01-31,5.2769,5.3418,5.2120,5.2398,5.2862,-0.0464,-0.8778,131317.6700,74776.6600
22,000488.SZ,2019-02-01,5.2769,5.3604,5.2583,5.3418,5.2398,0.1020,1.9466,126763.0600,72667.3160
23,000488.SZ,2019-02-11,5.3604,5.4624,5.3418,5.4624,5.3418,0.1206,2.2577,185013.4600,108047.2350
24,000488.SZ,2019-02-12,5.4716,5.6849,5.4531,5.6478,5.4624,0.1854,3.3941,363309.9700,219150.6790
25,000488.SZ,2019-02-13,5.6293,5.7220,5.6015,5.7035,5.6478,0.0557,0.9862,293714.2100,179602.4830
26,000488.SZ,2019-02-14,5.6849,5.7499,5.6478,5.7128,5.7035,0.0093,0.1631,208181.5000,128152.2010
27,000488.SZ,2019-02-15,5.7128,5.7406,5.6200,5.6386,5.7128,-0.0742,-1.2988,193555.4500,118439.0850
28,000488.SZ,2019-02-18,5.6571,5.7777,5.6571,5.7591,5.6386,0.1205,2.1371,299341.0000,185046.5950
29,000488.SZ,2019-02-19,5.7684,5.8797,5.7128,5.7870,5.7591,0.0279,0.4845,342559.4100,214266.5650
30,000488.SZ,2019-02-20,5.7962,6.0003,5.7591,5.9817,5.7870,0.1947,3.3644,485265.2300,309506.8370
31,000488.SZ,2019-02-21,5.9817,6.1115,5.8611,5.8982,5.9817,-0.0835,-1.3959,558993.4700,360645.1930
32,000488.SZ,2019-02-22,5.8982,5.9539,5.8241,5.9353,5.8982,0.0371,0.6290,356813.2400,226679.5870
33,000488.SZ,2019-02-25,6.0188,6.2970,5.9539,6.2877,5.9353,0.3524,5.9374,655192.5900,435013.0870
34,000488.SZ,2019-02-26,6.2970,6.5289,6.1857,6.3063,6.2877,0.0186,0.2958,794622.8800,544305.2530
35,000488.SZ,2019-02-27,6.2414,6.4361,6.1579,6.2228,6.3063,-0.0835,-1.3241,522531.3200,353968.5080
36,000488.SZ,2019-02-28,6.2136,6.3805,6.1765,6.3341,6.2228,0.1113,1.7886,452655.7000,307105.4110
37,000488.SZ,2019-03-01,6.3434,6.3527,6.1486,6.2599,6.3341,-0.0742,-1.1714,433139.8500,290239.7040
38,000488.SZ,2019-03-04,6.2599,6.5103,6.2321,6.3527,6.2599,0.0928,1.4825,780200.7000,534916.4800
39,000488.SZ,2019-03-05,6.3434,6.3898,6.2785,6.3805,6.3527,0.0278,0.4376,456998.9800,311827.8510
40,000488.SZ,2019-03-06,6.3712,6.4732,6.3063,6.4640,6.3805,0.0835,1.3087,650487.1700,448554.7020
41,000488.SZ,2019-03-07,6.5196,6.6773,6.4732,6.5660,6.4640,0.1020,1.5780,724314.2200,513784.8810
42,000488.SZ,2019-03-08,6.4361,6.4361,6.1208,6.1208,6.5660,-0.4452,-6.7804,665243.4600,451685.6010
43,000488.SZ,2019-03-11,6.1208,6.3527,6.1208,6.3434,6.1208,0.2226,3.6368,368937.7900,248910.1270
44,000488.SZ,2019-03-12,6.3898,6.6216,6.3712,6.5289,6.3434,0.1855,2.9243,686387.2500,481749.4060
45,000488.SZ,2019-03-13,6.5660,6.5845,6.3990,6.4361,6.5289,-0.0928,-1.4214,399228.8400,278441.1330
46,000488.SZ,2019-03-14,6.3990,6.4361,6.2043,6.2970,6.4361,-0.1391,-2.1612,420093.4000,284762.2040
47,000488.SZ,2019-03-15,6.3063,6.4083,6.2692,6.3434,6.2970,0.0464,0.7369,339153.3600,231525.5700
48,000488.SZ,2019-03-18,6.3434,6.4825,6.2877,6.4825,6.3434,0.1391,2.1928,446100.6500,308170.3420
49,000488.SZ,2019-03-19,6.5474,6.5660,6.3990,6.4361,6.4825,-0.0464,-0.7158,372517.3300,259635.2340
50,000488.SZ,2019-03-20,6.3805,6.4269,6.3063,6.4176,6.4361,-0.0185,-0.2874,308937.0200,212273.4000
51,000488.SZ,2019-03-21,6.4176,6.5474,6.4083,6.4547,6.4176,0.0371,0.5781,458364.5300,320323.7220
52,000488.SZ,2019-03-22,6.4454,6.4547,6.3156,6.4083,6.4547,-0.0464,-0.7189,365126.2600,251305.9370
53,000488.SZ,2019-03-25,6.3063,6.5289,6.2692,6.3434,6.4083,-0.0649,-1.0127,378494.1800,261359.5680
54,000488.SZ,2019-03-26,6.3619,6.4083,6.1208,6.1486,6.3434,-0.1948,-3.0709,388049.9200,261364.8110
55,000488.SZ,2019-03-27,6.2136,6.2228,6.0652,6.1672,6.1486,0.0186,0.3025,268000.3000,177988.9020
56,000488.SZ,2019-03-28,6.1672,6.1857,6.0744,6.0837,6.1672,-0.0835,-1.3539,216570.5500,143092.2990
57,000488.SZ,2019-03-29,6.0930,6.2692,6.0652,6.2692,6.0837,0.1855,3.0491,308013.9700,205077.4350
58,000488.SZ,2019-04-01,6.1672,6.4176,6.1301,6.4176,6.2692,0.1484,2.3671,920168.5000,626986.5890
59,000488.SZ,2019-04-02,6.4640,6.4825,6.3434,6.3619,6.4176,-0.0557,-0.8679,555354.1400,382622.1900
60,000488.SZ,2019-04-03,6.3341,6.5567,6.2970,6.5567,6.3619,0.1948,3.0620,825073.0600,574962.8640
61,000488.SZ,2019-04-04,6.6402,6.8998,6.5845,6.6216,6.5567,0.0649,0.9898,936690.4800,676179.6470
62,000488.SZ,2019-04-08,6.6773,7.2059,6.6216,7.0760,6.6216,0.4544,6.8624,1297177.8300,961505.9990
63,000488.SZ,2019-04-09,7.0853,7.1502,6.8442,7.0204,7.0760,-0.0556,-0.7858,778225.3100,587615.7140
64,000488.SZ,2019-04-10,6.9369,7.0111,6.7885,6.9184,7.0204,-0.1020,-1.4529,568221.7500,423404.0930
65,000488.SZ,2019-04-11,6.8906,6.9184,6.6587,6.6865,6.9184,-0.2319,-3.3519,521929.8500,380056.2590
66,000488.SZ,2019-04-12,6.6865,6.7051,6.5196,6.6680,6.6865,-0.0185,-0.2767,370681.5300,264074.3250
67,000488.SZ,2019-04-15,6.4083,6.4083,6.0652,6.0744,6.6680,-0.5936,-8.9022,1412091.3700,944243.7400
68,000488.SZ,2019-04-16,5.9910,6.1394,5.8797,6.1301,6.0744,0.0557,0.9170,796345.3700,513753.8510
69,000488.SZ,2019-04-17,6.1023,6.2785,6.0744,6.2228,6.1301,0.0927,1.5122,652238.7400,435561.2000
70,000488.SZ,2019-04-18,6.1950,6.1950,6.0374,6.0652,6.2228,-0.1576,-2.5326,589698.9000,388266.4790
71,000488.SZ,2019-04-19,6.0559,6.0930,5.9353,6.0559,6.0652,-0.0093,-0.1533,388887.9200,252402.7500
72,000488.SZ,2019-04-22,6.0559,6.0559,5.9168,5.9261,6.0559,-0.1298,-2.1434,417267.5500,268288.0270
73,000488.SZ,2019-04-23,5.9261,5.9724,5.8241,5.8519,5.9261,-0.0742,-1.2521,355153.7300,225140.8080
74,000488.SZ,2019-04-24,5.8519,5.9632,5.8148,5.9446,5.8519,0.0927,1.5841,373876.3300,237835.9480
75,000488.SZ,2019-04-25,5.9075,5.9353,5.6942,5.7128,5.9446,-0.2318,-3.8993,364761.4900,228836.1700
76,000488.SZ,2019-04-26,5.7035,5.7128,5.5829,5.6015,5.7128,-0.1113,-1.9483,313777.5100,190714.2890
77,000488.SZ,2019-04-29,5.5922,5.6200,5.4995,5.5180,5.6015,-0.0835,-1.4907,301121.9200,180222.8520
78,000488.SZ,2019-04-30,5.4624,5.5644,5.4438,5.5180,5.5180,0.0000,0.0000,227159.0600,135060.7050
79,000488.SZ,2019-05-06,5.4067,5.4160,5.0821,5.1192,5.5180,-0.3988,-7.2273,384891.6800,217602.6360
80,000488.SZ,2019-05-07,5.1841,5.2120,5.1007,5.1563,5.1192,0.0371,0.7247,213602.0100,119012.3490
81,000488.SZ,2019-05-08,5.1192,5.2120,5.0265,5.1656,5.1563,0.0093,0.1804,193394.7300,107523.5890
