,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002482.SZ,2019-01-02,5.7494,5.8584,5.5214,5.5313,5.7395,-0.2082,-3.6275,73113.1000,41760.2140
1,002482.SZ,2019-01-03,5.5709,5.6502,5.3132,5.3132,5.5313,-0.2181,-3.9430,68233.6800,37409.9020
2,002482.SZ,2019-01-04,5.3529,5.4619,5.2835,5.4520,5.3132,0.1388,2.6124,66870.1900,36377.3990
3,002482.SZ,2019-01-07,5.5709,5.5709,5.4520,5.5214,5.4520,0.0694,1.2729,123817.2200,68954.0790
4,002482.SZ,2019-01-08,5.5511,5.6403,5.4520,5.4619,5.5214,-0.0595,-1.0776,115070.2500,64179.0450
5,002482.SZ,2019-01-09,5.4619,5.5709,5.4222,5.4916,5.4619,0.0297,0.5438,84979.2200,47296.5910
6,002482.SZ,2019-01-10,5.4619,5.5016,5.2934,5.3330,5.4916,-0.1586,-2.8880,85866.4200,46322.0570
7,002482.SZ,2019-01-11,5.3330,5.5313,5.2934,5.5313,5.3330,0.1983,3.7184,97480.1000,53088.7050
8,002482.SZ,2019-01-14,5.4024,5.4222,5.2736,5.3529,5.5313,-0.1784,-3.2253,97232.1600,52478.0530
9,002482.SZ,2019-01-15,5.3529,5.4619,5.3132,5.4421,5.3529,0.0892,1.6664,72176.8000,39245.3350
10,002482.SZ,2019-01-16,5.4222,5.4222,5.3132,5.3132,5.4421,-0.1289,-2.3686,56905.5000,30714.7740
11,002482.SZ,2019-01-17,5.3231,5.3231,5.0951,5.1546,5.3132,-0.1586,-2.9850,85906.4800,45155.7950
12,002482.SZ,2019-01-18,5.2042,5.2240,5.0257,5.0753,5.1546,-0.0793,-1.5384,78119.4300,40102.8840
13,002482.SZ,2019-01-21,5.1050,5.1645,5.0753,5.1150,5.0753,0.0397,0.7822,62376.7000,32238.1610
14,002482.SZ,2019-01-22,5.1150,5.2339,5.1050,5.1348,5.1150,0.0198,0.3871,65245.4400,34046.1540
15,002482.SZ,2019-01-23,5.1744,5.1843,5.1050,5.1447,5.1348,0.0099,0.1928,32638.8400,16908.1060
16,002482.SZ,2019-01-24,5.1645,5.2438,5.0951,5.2141,5.1447,0.0694,1.3490,58841.3000,30710.5590
17,002482.SZ,2019-01-25,5.2141,5.2835,5.1744,5.2438,5.2141,0.0297,0.5696,56061.0100,29593.6620
18,002482.SZ,2019-01-28,5.2438,5.2736,5.0654,5.0951,5.2438,-0.1487,-2.8357,45007.5600,23597.5930
19,002482.SZ,2019-01-29,5.1150,5.1447,4.9167,5.0951,5.0951,0.0000,0.0000,43767.5300,22304.6980
20,002482.SZ,2019-01-30,5.0753,5.2042,5.0654,5.1150,5.0951,0.0199,0.3906,45564.4000,23644.2400
21,002482.SZ,2019-01-31,5.1150,5.1150,4.9861,4.9960,5.1150,-0.1190,-2.3265,46570.9800,23700.9010
22,002482.SZ,2019-02-01,4.9960,5.2042,4.9960,5.1843,4.9960,0.1883,3.7690,41166.7000,21308.9780
23,002482.SZ,2019-02-11,5.1843,5.3231,5.1447,5.2835,5.1843,0.0992,1.9135,55092.0000,29191.4750
24,002482.SZ,2019-02-12,5.3033,5.3826,5.2537,5.3429,5.2835,0.0594,1.1243,62783.2800,33720.3390
25,002482.SZ,2019-02-13,5.3231,5.4222,5.3033,5.3925,5.3429,0.0496,0.9283,72720.9800,39505.0920
26,002482.SZ,2019-02-14,5.3529,5.3925,5.3033,5.3529,5.3925,-0.0396,-0.7344,71744.7500,38736.1770
27,002482.SZ,2019-02-15,5.3529,5.3925,5.2636,5.2934,5.3529,-0.0595,-1.1115,55479.0000,29803.7490
28,002482.SZ,2019-02-18,5.2934,5.4817,5.2934,5.4619,5.2934,0.1685,3.1832,102288.5000,55693.1040
29,002482.SZ,2019-02-19,5.5809,5.6701,5.4024,5.4619,5.4619,0.0000,0.0000,147909.6100,82453.9060
30,002482.SZ,2019-02-20,5.4817,5.4916,5.3925,5.4619,5.4619,0.0000,0.0000,64700.5600,35511.6250
31,002482.SZ,2019-02-21,5.4619,5.5214,5.4222,5.4421,5.4619,-0.0198,-0.3625,89196.6100,49197.5890
32,002482.SZ,2019-02-22,5.4123,5.5313,5.4024,5.5115,5.4421,0.0694,1.2752,95487.6500,52640.5450
33,002482.SZ,2019-02-25,5.5214,5.7692,5.5115,5.7196,5.5115,0.2081,3.7757,185949.7300,105779.3860
34,002482.SZ,2019-02-26,5.7295,5.9179,5.6502,5.7890,5.7196,0.0694,1.2134,181074.7400,105893.6740
35,002482.SZ,2019-02-27,5.7890,5.8981,5.6304,5.7295,5.7890,-0.0595,-1.0278,135182.1300,78793.5090
36,002482.SZ,2019-02-28,5.7395,5.7890,5.6602,5.7097,5.7295,-0.0198,-0.3456,77814.5300,44944.9640
37,002482.SZ,2019-03-01,5.7097,5.8881,5.7097,5.8188,5.7097,0.1091,1.9108,107619.7900,62862.2810
38,002482.SZ,2019-03-04,5.8287,6.0071,5.8088,5.8485,5.8188,0.0297,0.5104,189790.2200,112851.9790
39,002482.SZ,2019-03-05,5.8386,5.9674,5.7890,5.9278,5.8485,0.0793,1.3559,214933.3700,127145.1820
40,002482.SZ,2019-03-06,5.9575,6.0468,5.8584,6.0071,5.9278,0.0793,1.3378,157861.6000,94791.2070
41,002482.SZ,2019-03-07,5.9674,6.0666,5.8782,6.0170,6.0071,0.0099,0.1648,162961.3200,98537.1470
42,002482.SZ,2019-03-08,5.9080,6.1261,5.7295,6.1261,6.0170,0.1091,1.8132,285407.6100,170081.8590
43,002482.SZ,2019-03-11,6.0666,6.4135,5.9377,6.2648,6.1261,0.1387,2.2641,320033.1500,198383.2410
44,002482.SZ,2019-03-12,6.2747,6.4135,6.1954,6.3640,6.2648,0.0992,1.5835,321026.5900,204276.4180
45,002482.SZ,2019-03-13,6.3838,6.3838,6.1261,6.2054,6.3640,-0.1586,-2.4921,198707.4500,124955.1860
46,002482.SZ,2019-03-14,5.9774,6.0170,5.7295,5.9575,6.2054,-0.2479,-3.9949,288625.5800,171797.4820
47,002482.SZ,2019-03-15,5.9377,6.5424,5.9278,6.4730,5.9575,0.5155,8.6530,470825.3100,297666.4470
48,002482.SZ,2019-03-18,6.4730,6.6911,6.3540,6.4730,6.4730,0.0000,0.0000,296288.7200,192638.1250
49,002482.SZ,2019-03-19,6.5721,6.5721,6.3144,6.3937,6.4730,-0.0793,-1.2251,141437.5400,91291.6500
50,002482.SZ,2019-03-20,6.3838,6.4532,6.1459,6.2847,6.3937,-0.1090,-1.7048,217307.6400,138898.1810
51,002482.SZ,2019-03-21,6.4433,6.5424,6.3540,6.3540,6.2847,0.0693,1.1027,230213.8600,149252.1810
52,002482.SZ,2019-03-22,6.2450,6.7605,6.2054,6.6713,6.3540,0.3173,4.9937,314355.2100,207405.2420
53,002482.SZ,2019-03-25,6.4928,6.6217,6.2351,6.2648,6.6713,-0.4065,-6.0933,291308.5600,189149.3160
54,002482.SZ,2019-03-26,6.2153,6.3540,5.9972,6.1261,6.2648,-0.1387,-2.2140,259259.4000,161370.5250
55,002482.SZ,2019-03-27,6.1161,6.1558,6.0170,6.1360,6.1261,0.0099,0.1616,151551.8100,93226.3010
56,002482.SZ,2019-03-28,6.0269,6.1657,6.0071,6.0368,6.1360,-0.0992,-1.6167,113440.5100,69629.1940
57,002482.SZ,2019-03-29,6.0368,6.2847,5.9972,6.2648,6.0368,0.2280,3.7768,187001.6200,116137.5340
58,002482.SZ,2019-04-01,6.2648,6.5027,6.2648,6.4036,6.2648,0.1388,2.2156,357250.3500,230290.2900
59,002482.SZ,2019-04-02,6.4333,7.0182,6.3441,6.8893,6.4036,0.4857,7.5848,580278.3900,392721.0050
60,002482.SZ,2019-04-03,6.8398,7.2164,6.6613,6.8001,6.8893,-0.0892,-1.2948,511687.6400,352041.1430
61,002482.SZ,2019-04-04,6.7803,6.8794,6.6514,6.8100,6.8001,0.0099,0.1456,301241.7300,205688.4730
62,002482.SZ,2019-04-08,6.8695,6.8695,6.5126,6.6514,6.8100,-0.1586,-2.3289,285860.3400,193003.7500
63,002482.SZ,2019-04-09,6.6713,6.9389,6.4928,6.5325,6.6514,-0.1189,-1.7876,371806.2600,248894.8420
64,002482.SZ,2019-04-10,6.5226,6.6812,6.4631,6.6217,6.5325,0.0892,1.3655,205885.1300,136682.9600
65,002482.SZ,2019-04-11,6.5820,6.8299,6.5226,6.7307,6.6217,0.1090,1.6461,252942.5600,170471.7510
66,002482.SZ,2019-04-12,6.7307,7.0380,6.5820,6.8398,6.7307,0.1091,1.6209,438817.5200,301352.6740
67,002482.SZ,2019-04-15,6.6415,6.7902,6.4730,6.4829,6.8398,-0.3569,-5.2180,313582.5400,210088.0270
68,002482.SZ,2019-04-16,6.3441,6.5126,6.1954,6.4532,6.4829,-0.0297,-0.4581,201474.9700,129187.9530
69,002482.SZ,2019-04-17,6.4333,6.5424,6.3540,6.4135,6.4532,-0.0397,-0.6152,167984.2500,109061.8880
