,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601933.SH,2019-01-02,7.7121,7.7414,7.5071,7.7121,7.6828,0.0293,0.3814,244267.5600,191062.4280
1,601933.SH,2019-01-03,7.7121,7.7805,7.6438,7.7121,7.7121,0.0000,0.0000,243274.9600,192061.2720
2,601933.SH,2019-01-04,7.6536,7.7609,7.5169,7.7317,7.7121,0.0196,0.2541,370435.5700,289919.3500
3,601933.SH,2019-01-07,7.7317,7.7902,7.6926,7.7609,7.7317,0.0292,0.3777,423833.8700,336059.2590
4,601933.SH,2019-01-08,7.7317,7.8879,7.6340,7.8781,7.7609,0.1172,1.5101,419876.7700,334344.4680
5,601933.SH,2019-01-09,7.8488,8.0440,7.8098,7.8683,7.8781,-0.0098,-0.1244,427371.2100,348036.0490
6,601933.SH,2019-01-10,7.8195,7.8586,7.7512,7.8293,7.8683,-0.0390,-0.4957,247976.1400,198279.2150
7,601933.SH,2019-01-11,7.8098,7.9562,7.7902,7.9464,7.8293,0.1171,1.4957,248622.1000,200905.4830
8,601933.SH,2019-01-14,7.9464,8.1026,7.8586,8.0148,7.9464,0.0684,0.8608,389707.1000,321040.3110
9,601933.SH,2019-01-15,8.0538,8.1319,8.0148,8.0636,8.0148,0.0488,0.6089,248889.3100,205786.8770
10,601933.SH,2019-01-16,8.0636,8.1417,8.0538,8.0929,8.0636,0.0293,0.3634,285142.5000,236605.3630
11,601933.SH,2019-01-17,8.1124,8.1124,7.9269,7.9367,8.0929,-0.1562,-1.9301,225407.5400,184936.3560
12,601933.SH,2019-01-18,7.9464,8.0440,7.8879,7.9562,7.9367,0.0195,0.2457,367991.8400,300143.2220
13,601933.SH,2019-01-21,7.9562,8.1221,7.9562,8.0440,7.9562,0.0878,1.1035,320312.4400,264588.6580
14,601933.SH,2019-01-22,8.0538,8.0538,7.9074,7.9855,8.0440,-0.0585,-0.7273,259290.8000,212308.5790
15,601933.SH,2019-01-23,7.9855,8.0538,7.9562,8.0148,7.9855,0.0293,0.3669,187643.5600,154068.1910
16,601933.SH,2019-01-24,8.0343,8.0538,7.9367,7.9659,8.0148,-0.0489,-0.6101,211722.7900,173047.2170
17,601933.SH,2019-01-25,8.0050,8.0636,7.9562,8.0245,7.9659,0.0586,0.7356,237688.8500,195225.6350
18,601933.SH,2019-01-28,8.0440,8.1807,8.0050,8.0440,8.0245,0.0195,0.2430,294427.2000,244628.2920
19,601933.SH,2019-01-29,8.0538,8.1612,7.9855,8.0538,8.0440,0.0098,0.1218,265453.4200,219206.2550
20,601933.SH,2019-01-30,8.0538,8.1124,7.9952,8.0148,8.0538,-0.0390,-0.4842,184037.7300,151763.9250
21,601933.SH,2019-01-31,8.0148,8.0733,7.8390,7.8683,8.0148,-0.1465,-1.8279,300856.3700,245028.7740
22,601933.SH,2019-02-01,7.8976,8.0343,7.8976,7.9952,7.8683,0.1269,1.6128,155315.8000,127186.9170
23,601933.SH,2019-02-11,8.0245,8.0831,7.9269,8.0440,7.9952,0.0488,0.6104,321592.3000,263110.5920
24,601933.SH,2019-02-12,8.0343,8.3662,8.0148,8.3467,8.0440,0.3027,3.7631,475080.1000,400777.2040
25,601933.SH,2019-02-13,8.3076,8.6103,8.2881,8.5029,8.3467,0.1562,1.8714,546222.3300,475831.2110
26,601933.SH,2019-02-14,8.5126,8.5322,8.3857,8.4443,8.5029,-0.0586,-0.6892,239740.8300,207709.7810
27,601933.SH,2019-02-15,8.4541,8.4931,8.3564,8.3564,8.4443,-0.0879,-1.0409,207285.2300,178817.3620
28,601933.SH,2019-02-18,8.3760,8.6688,8.3760,8.6298,8.3564,0.2734,3.2717,397737.4200,349206.6620
29,601933.SH,2019-02-19,8.6103,8.7372,8.4248,8.4833,8.6298,-0.1465,-1.6976,353948.4000,311838.9520
30,601933.SH,2019-02-20,8.5224,8.6493,8.4736,8.4931,8.4833,0.0098,0.1155,291728.1000,254963.4950
31,601933.SH,2019-02-21,8.5614,8.5712,8.2783,8.3174,8.4931,-0.1757,-2.0687,434779.4100,375454.8200
32,601933.SH,2019-02-22,8.3564,8.6298,8.2979,8.6298,8.3174,0.3124,3.7560,522969.9500,455365.3560
33,601933.SH,2019-02-25,8.6884,8.9324,8.5810,8.8836,8.6298,0.2538,2.9410,743897.2000,670246.8420
34,601933.SH,2019-02-26,8.8836,8.9324,8.6200,8.6395,8.8836,-0.2441,-2.7478,657493.7300,589482.1820
35,601933.SH,2019-02-27,8.6395,8.7079,8.3564,8.4345,8.6395,-0.2050,-2.3728,555002.1600,482946.4740
36,601933.SH,2019-02-28,8.4736,8.4931,8.2979,8.4443,8.4345,0.0098,0.1162,566384.6200,487082.8080
37,601933.SH,2019-03-01,8.4443,8.6103,8.4443,8.5126,8.4443,0.0683,0.8088,470255.9600,410398.3060
38,601933.SH,2019-03-04,8.5322,8.7469,8.5126,8.5907,8.5126,0.0781,0.9175,704985.8500,623198.9370
39,601933.SH,2019-03-05,8.6005,8.8934,8.5517,8.6591,8.5907,0.0684,0.7962,621279.9900,553003.3480
40,601933.SH,2019-03-06,8.6591,8.6591,8.3955,8.5810,8.6591,-0.0781,-0.9019,807535.3400,704143.6600
41,601933.SH,2019-03-07,8.5224,8.5322,8.3174,8.3955,8.5810,-0.1855,-2.1618,780081.7800,671860.8990
42,601933.SH,2019-03-08,8.2979,8.3174,8.0538,8.0636,8.3955,-0.3319,-3.9533,690903.3200,577126.1140
43,601933.SH,2019-03-11,8.0245,8.2686,8.0245,8.1807,8.0636,0.1171,1.4522,463708.8900,388693.0510
44,601933.SH,2019-03-12,8.1905,8.2881,8.1319,8.2002,8.1807,0.0195,0.2384,539406.1800,453454.4720
45,601933.SH,2019-03-13,8.2002,8.2002,8.0148,8.1221,8.2002,-0.0781,-0.9524,427099.1400,353936.8210
46,601933.SH,2019-03-14,8.1026,8.1710,8.0148,8.0538,8.1221,-0.0683,-0.8409,296314.2200,245149.9300
47,601933.SH,2019-03-15,8.0636,8.1807,8.0440,8.1124,8.0538,0.0586,0.7276,426091.1100,353638.3540
48,601933.SH,2019-03-18,8.1124,8.4541,8.0831,8.4443,8.1124,0.3319,4.0913,852963.7600,727570.2680
49,601933.SH,2019-03-19,8.4736,8.5810,8.4150,8.5322,8.4443,0.0879,1.0409,631309.2200,549752.4440
50,601933.SH,2019-03-20,8.5029,8.6200,8.3564,8.4541,8.5322,-0.0781,-0.9154,403153.1500,350628.5100
51,601933.SH,2019-03-21,8.4638,8.5224,8.3760,8.3955,8.4541,-0.0586,-0.6932,371553.2400,320546.7130
52,601933.SH,2019-03-22,8.4345,8.4541,8.2979,8.3955,8.3955,0.0000,0.0000,294542.9000,252437.0070
53,601933.SH,2019-03-25,8.2979,8.2979,8.0831,8.1417,8.3955,-0.2538,-3.0230,504038.4900,424251.9240
54,601933.SH,2019-03-26,8.1612,8.2393,8.0440,8.0636,8.1417,-0.0781,-0.9593,299981.6300,250686.4490
55,601933.SH,2019-03-27,8.0636,8.2295,8.0440,8.1026,8.0636,0.0390,0.4837,410214.6200,342828.4810
56,601933.SH,2019-03-28,8.1221,8.1514,8.0343,8.1221,8.1026,0.0195,0.2407,345737.0000,286747.4840
57,601933.SH,2019-03-29,8.2002,8.4931,8.2002,8.4345,8.1221,0.3124,3.8463,868686.2600,746599.1650
58,601933.SH,2019-04-01,8.4931,8.6981,8.4443,8.5712,8.4345,0.1367,1.6207,876647.6600,770501.1450
59,601933.SH,2019-04-02,8.5907,8.7176,8.5322,8.6884,8.5712,0.1172,1.3674,714153.6500,633707.5830
60,601933.SH,2019-04-03,8.6884,9.1081,8.6688,9.0788,8.6884,0.3904,4.4933,973267.0300,894275.9900
61,601933.SH,2019-04-04,9.0300,9.1862,8.8836,9.0691,9.0788,-0.0097,-0.1068,660879.9700,611144.3620
62,601933.SH,2019-04-08,9.0300,9.3619,8.9324,9.0007,9.0691,-0.0684,-0.7542,766108.9900,715786.2220
63,601933.SH,2019-04-09,8.9617,9.0984,8.7957,8.9617,9.0007,-0.0390,-0.4333,366238.8900,336923.5480
64,601933.SH,2019-04-10,9.0398,9.3717,8.9715,9.2253,8.9617,0.2636,2.9414,706428.4600,665760.6830
65,601933.SH,2019-04-11,9.1472,9.2643,8.9519,8.9519,9.2253,-0.2734,-2.9636,368568.8900,343100.1800
