,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600208.SH,2019-01-02,2.8343,2.8538,2.7659,2.8147,2.8343,-0.0196,-0.6915,254102.1600,72767.2290
1,600208.SH,2019-01-03,2.7952,2.8245,2.7756,2.8049,2.8147,-0.0098,-0.3482,148981.1800,42665.7450
2,600208.SH,2019-01-04,2.7756,2.8734,2.7659,2.8636,2.8049,0.0587,2.0928,295420.1100,85759.7450
3,600208.SH,2019-01-07,2.8831,2.8929,2.8538,2.8831,2.8636,0.0195,0.6810,294872.4600,86725.8550
4,600208.SH,2019-01-08,2.8636,2.8831,2.8538,2.8734,2.8831,-0.0097,-0.3364,142205.6100,41753.8290
5,600208.SH,2019-01-09,2.8734,2.9125,2.8636,2.8734,2.8734,0.0000,0.0000,264747.2900,78366.2930
6,600208.SH,2019-01-10,2.8734,2.8831,2.8440,2.8440,2.8734,-0.0294,-1.0232,180131.0000,52730.5900
7,600208.SH,2019-01-11,2.8440,2.8636,2.8343,2.8538,2.8440,0.0098,0.3446,182017.1000,53012.0410
8,600208.SH,2019-01-14,2.8538,2.8636,2.8147,2.8245,2.8538,-0.0293,-1.0267,181857.2000,52803.5440
9,600208.SH,2019-01-15,2.8147,2.8440,2.7952,2.8440,2.8245,0.0195,0.6904,179208.2400,51760.8160
10,600208.SH,2019-01-16,2.8343,2.8440,2.8049,2.8147,2.8440,-0.0293,-1.0302,173186.5600,50040.3680
11,600208.SH,2019-01-17,2.8147,2.8343,2.7952,2.8049,2.8147,-0.0098,-0.3482,162068.1200,46674.0600
12,600208.SH,2019-01-18,2.8049,2.8343,2.8049,2.8245,2.8049,0.0196,0.6988,268336.0700,77402.8680
13,600208.SH,2019-01-21,2.8245,2.8538,2.8147,2.8343,2.8245,0.0098,0.3470,247307.7800,71714.6900
14,600208.SH,2019-01-22,2.8343,2.8440,2.7854,2.8147,2.8343,-0.0196,-0.6915,224346.1400,64512.2430
15,600208.SH,2019-01-23,2.7952,2.8147,2.7854,2.7952,2.8147,-0.0195,-0.6928,113925.0000,32607.9060
16,600208.SH,2019-01-24,2.7952,2.8147,2.7659,2.8147,2.7952,0.0195,0.6976,248628.6600,70928.6930
17,600208.SH,2019-01-25,2.7952,2.8147,2.7854,2.8049,2.8147,-0.0098,-0.3482,214710.9800,61473.2290
18,600208.SH,2019-01-28,2.8245,2.8343,2.7952,2.7952,2.8049,-0.0097,-0.3458,193132.0000,55643.6290
19,600208.SH,2019-01-29,2.7952,2.7952,2.6974,2.7756,2.7952,-0.0196,-0.7012,236257.8400,66656.5820
20,600208.SH,2019-01-30,2.7561,2.8049,2.7463,2.7561,2.7756,-0.0195,-0.7026,149132.0800,42286.2660
21,600208.SH,2019-01-31,2.7561,2.7756,2.7170,2.7659,2.7561,0.0098,0.3556,234523.0000,66000.8220
22,600208.SH,2019-02-01,2.7659,2.8147,2.7561,2.8147,2.7659,0.0488,1.7643,247016.8200,70341.4060
23,600208.SH,2019-02-11,2.8147,2.8538,2.7952,2.8440,2.8147,0.0293,1.0410,287940.7200,83298.0110
24,600208.SH,2019-02-12,2.8343,2.8929,2.8343,2.8831,2.8440,0.0391,1.3748,363883.1300,106875.5320
25,600208.SH,2019-02-13,2.8831,2.9320,2.8636,2.9125,2.8831,0.0294,1.0197,351421.5300,104347.1570
26,600208.SH,2019-02-14,2.9125,2.9418,2.9027,2.9320,2.9125,0.0195,0.6695,303074.7400,90685.2610
27,600208.SH,2019-02-15,3.0395,3.1079,3.0102,3.0200,2.9320,0.0880,3.0014,800987.0200,249462.8500
28,600208.SH,2019-02-18,3.0200,3.0591,3.0102,3.0493,3.0200,0.0293,0.9702,522639.6600,162475.5820
29,600208.SH,2019-02-19,3.0591,3.0786,2.9906,3.0200,3.0493,-0.0293,-0.9609,549853.6800,170826.5340
30,600208.SH,2019-02-20,3.0297,3.0688,2.9906,3.0493,3.0200,0.0293,0.9702,437014.7900,135577.2030
31,600208.SH,2019-02-21,3.0395,3.1079,3.0297,3.0591,3.0493,0.0098,0.3214,541691.7500,170223.4940
32,600208.SH,2019-02-22,3.0591,3.3034,3.0395,3.2838,3.0591,0.2247,7.3453,1064994.4200,344993.2980
33,600208.SH,2019-02-25,3.4695,3.6161,3.3620,3.6161,3.2838,0.3323,10.1194,1719727.5000,622857.2200
34,600208.SH,2019-02-26,3.7236,3.8996,3.5673,3.5966,3.6161,-0.0195,-0.5393,1713613.8300,652841.5710
35,600208.SH,2019-02-27,3.5477,3.6845,3.5379,3.6455,3.5966,0.0489,1.3596,885914.1800,327170.5900
36,600208.SH,2019-02-28,3.6552,3.6748,3.5282,3.5770,3.6455,-0.0685,-1.8790,724543.5600,266161.6250
37,600208.SH,2019-03-01,3.5770,3.6650,3.4793,3.6161,3.5770,0.0391,1.0931,724898.9700,265081.9150
38,600208.SH,2019-03-04,3.6259,3.8018,3.5966,3.6748,3.6161,0.0587,1.6233,1204602.3900,455135.8690
39,600208.SH,2019-03-05,3.6259,3.7334,3.6161,3.6943,3.6748,0.0195,0.5306,710689.6300,267482.2470
40,600208.SH,2019-03-06,3.7236,3.7921,3.6650,3.7530,3.6943,0.0587,1.5889,990579.7800,378021.9880
41,600208.SH,2019-03-07,3.8018,4.1243,3.7432,4.0755,3.7530,0.3225,8.5931,1765563.8400,708786.3350
